Time,Source IP,Destination IP,Destination Port,Protocol,Size
2026-07-11 18:45:29,166.108.200.175,192.168.100.63,52619,TCP,54
2026-07-11 18:45:29,192.168.100.12,224.0.0.251,5353,UDP,290
2026-07-11 18:45:29,166.108.200.175,192.168.100.63,52672,TCP,54
2026-07-11 18:45:29,166.108.200.175,192.168.100.63,52620,TCP,54
2026-07-11 18:45:29,192.168.100.63,166.108.200.175,443,TCP,54
2026-07-11 18:45:29,192.168.100.63,166.108.200.175,443,TCP,54
2026-07-11 18:45:29,192.168.100.63,166.108.200.175,443,TCP,54
2026-07-11 18:45:30,166.108.200.175,192.168.100.63,52674,TCP,54
2026-07-11 18:45:30,192.168.100.63,166.108.200.175,443,TCP,54
2026-07-11 18:45:30,166.108.200.175,192.168.100.63,52675,TCP,54
2026-07-11 18:45:30,119.8.160.175,192.168.100.63,52680,TCP,54
2026-07-11 18:45:30,166.108.200.175,192.168.100.63,52679,TCP,54
2026-07-11 18:45:30,166.108.200.175,192.168.100.63,52682,TCP,54
2026-07-11 18:45:30,192.168.100.63,166.108.200.175,443,TCP,54
2026-07-11 18:45:30,192.168.100.63,119.8.160.175,11111,TCP,54
2026-07-11 18:45:30,192.168.100.63,166.108.200.175,443,TCP,54
2026-07-11 18:45:30,192.168.100.63,166.108.200.175,443,TCP,54
2026-07-11 18:45:30,166.108.200.175,192.168.100.63,52677,TCP,54
2026-07-11 18:45:30,192.168.100.63,166.108.200.175,443,TCP,54
2026-07-11 18:45:31,166.108.200.175,192.168.100.63,52627,TCP,54
2026-07-11 18:45:31,166.108.200.175,192.168.100.63,52626,TCP,54
2026-07-11 18:45:31,192.168.100.63,166.108.200.175,443,TCP,54
2026-07-11 18:45:31,192.168.100.63,166.108.200.175,443,TCP,54
2026-07-11 18:45:32,166.108.200.175,192.168.100.63,52629,TCP,54
2026-07-11 18:45:32,192.168.100.63,166.108.200.175,443,TCP,54
2026-07-11 18:45:32,166.108.200.175,192.168.100.63,52630,TCP,54
2026-07-11 18:45:32,192.168.100.63,166.108.200.175,443,TCP,54
2026-07-11 18:45:33,166.108.200.175,192.168.100.63,52631,TCP,54
2026-07-11 18:45:33,192.168.100.63,166.108.200.175,443,TCP,54
2026-07-11 18:45:33,192.168.100.12,239.255.255.250,1900,UDP,167
2026-07-11 18:45:33,192.168.100.12,239.255.255.250,1900,UDP,167
2026-07-11 18:45:33,192.168.100.12,239.255.255.250,1900,UDP,167
2026-07-11 18:45:35,192.168.100.63,192.168.100.1,53,UDP,92
2026-07-11 18:45:35,192.168.100.1,192.168.100.63,60881,UDP,487
2026-07-11 18:45:35,192.168.100.9,224.0.0.251,5353,UDP,119
2026-07-11 18:45:35,192.168.100.63,20.89.1.12,443,TCP,66
2026-07-11 18:45:36,20.89.1.12,192.168.100.63,52833,TCP,66
2026-07-11 18:45:36,192.168.100.63,20.89.1.12,443,TCP,54
2026-07-11 18:45:36,192.168.100.63,20.89.1.12,443,TCP,571
2026-07-11 18:45:36,166.108.200.175,192.168.100.63,52641,TCP,54
2026-07-11 18:45:36,192.168.100.63,166.108.200.175,443,TCP,54
2026-07-11 18:45:36,20.89.1.12,192.168.100.63,52833,TCP,153
